2026-06-16 23:03:25, MOVE, v:1, k:ed@subset_sum, mode:EDIT
2026-06-16 23:03:25, MOVE, v:1, k:ed@prin_list2, mode:EDIT
2026-06-16 23:03:25, MOVE, v:1, k:ed@controlz, mode:EDIT
2026-06-16 23:03:25, MOVE, v:1, k:ed@especiais, mode:EDIT
2026-06-16 23:03:25, MOVE, v:1, k:ed@apagando, mode:EDIT
2026-06-16 23:03:25, MOVE, v:1, k:ed@prin_list1, mode:EDIT
2026-06-16 23:03:25, MOVE, v:1, k:ed@lista_d3, mode:EDIT
2026-06-16 23:03:25, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-06-16 23:03:25, MOVE, v:1, k:ed@lista_d4, mode:EDIT
2026-06-16 23:03:25, MOVE, v:1, k:ed@buscas, mode:EDIT
